codigo_venda,numero_fiscal,id_produto,nome_produto,valor,timestamp_venda
305fe238-2fbc-4afd-852c-ece14111203f,582560624,4,Monitor,2394.71,2026-01-31T22:54:06.629052
ed6c90fb-a742-4834-942c-f2253dc9bd6d,808296991,10,Smartphone,3966.56,2026-01-21T00:10:57.004160
a3cd4897-675d-419f-9e54-a9f52ab8fb1a,407211929,6,Cadeira Gamer,3570.38,2026-01-21T00:55:22.838616
5667552c-25f3-4bb8-a429-4dfe98b19551,228889812,7,Webcam,2305.6,2026-01-17T23:04:02.309525
52ffd1ff-77fd-4eff-931d-41dd9746fb5f,333951072,9,SSD,4587.19,2026-01-09T20:40:55.418529
b2dc2506-f0ac-42b3-894b-935653249442,958588406,9,SSD,2029.58,2026-01-31T13:19:33.376430
0348dede-2f01-4e1a-9893-27f7addc00bd,127457606,9,SSD,1183.0,2026-01-21T08:20:41.900489
f7402e1a-3732-49f7-b1f9-a0b55dd5fd87,452976425,8,HD Externo,4075.91,2026-01-19T00:02:54.035568
1af17a64-8fe3-44bb-a437-6b3963c675d7,370840197,10,Smartphone,3274.35,2026-01-24T13:30:45.883069
e39d7484-88b0-49f3-b8a7-b289317d323b,319039838,2,Mouse,3261.92,2026-01-30T00:47:36.451161
ca989ffb-3be9-4fc4-a7e7-25742ef87dd6,397259187,8,HD Externo,2825.97,2026-01-16T20:30:16.370770
0b96bd21-fb40-4615-b6d1-3bf891978b49,375718230,4,Monitor,4965.81,2026-01-24T11:17:34.925292
01dbbc32-22f3-474d-b97e-466b5c3bd2ce,237093984,3,Teclado,335.25,2026-01-05T17:40:45.332500
a2f9d293-ac98-45c6-9661-b1ec7e3430f4,852846177,4,Monitor,2194.5,2026-01-28T22:36:35.795342
3019ec74-9c78-40ba-902a-ed1900ec04e2,340994658,10,Smartphone,193.62,2026-01-12T19:39:15.721155
bb1919b7-4f98-411d-8ec9-e1c192e7d9ae,889594661,5,Headset,143.43,2026-01-21T22:41:56.187350
ef943733-b4f0-4609-af98-7f4138fcb59a,631260140,6,Cadeira Gamer,3536.88,2026-02-01T20:52:10.548105
f59ce5a2-f971-4600-b2b6-b4013d48c0b5,224947857,8,HD Externo,1097.46,2026-02-01T02:18:30.860783
f85819f4-0d78-4f86-b1c5-c3a86177f4aa,916066364,1,Notebook,2871.87,2026-02-01T19:26:44.692177
3259a894-ec44-45d2-a216-5468e2b65fb0,101903297,1,Notebook,460.64,2026-01-30T21:46:18.204823
4de4b368-a9f9-4310-9365-eee07dae12e5,593410616,4,Monitor,4611.32,2026-01-23T11:49:04.204472
7b1bba4e-88c3-43ed-8177-36aa6915725c,173995032,9,SSD,1702.99,2026-01-14T15:51:33.649299
79608f93-321f-4bbc-bf5d-47aed992e077,807787203,8,HD Externo,1378.87,2026-01-18T20:05:51.084128
1b1285ae-b8ac-447f-b866-415ba2c6bd87,874381432,9,SSD,1368.57,2026-01-23T23:27:41.468221
437c3e19-badd-402a-9bd1-90e8478ec629,359103271,7,Webcam,529.39,2026-01-15T05:39:04.266391
922adc04-6859-425f-8eb4-852c1bd26f07,725217399,5,Headset,4232.15,2026-01-20T17:11:11.914349
a87360b1-79be-49ed-8ab8-69cd6f79cb8f,762656368,9,SSD,1385.78,2026-01-06T01:08:13.711589
e4b61bad-fe1b-4bb2-8586-8459cac1a551,121343694,9,SSD,4103.3,2026-01-04T17:23:51.664505
1f05a07c-c903-48fb-9340-a8f273f319ca,986302775,5,Headset,553.77,2026-01-25T02:51:24.530614
20378544-ae78-44ea-8167-3a307e2b1e0e,867308558,7,Webcam,2446.3,2026-01-23T10:40:25.480074
a99cc29f-7ad6-40dd-8c75-dd73ee2484fe,987813408,1,Notebook,32.87,2026-01-16T15:46:39.926780
9c2b1db1-8b31-454c-aa34-7f1f5482a894,658500836,5,Headset,4464.49,2026-01-05T23:57:59.734269
eac8ebc7-08cd-43ea-ab27-14b627d44fd4,640060270,1,Notebook,1551.48,2026-01-14T09:25:13.837569
836ae22b-d183-4faa-a5b5-5f5fd7c68ef9,750334552,10,Smartphone,2321.52,2026-01-14T15:59:19.764984
d4e000df-e0cd-4473-b678-45265e4bc1f1,722945601,5,Headset,140.35,2026-01-19T02:13:36.333342
da9607ad-be9a-45ce-bdc1-d0eeced1f4ff,983269215,2,Mouse,1766.66,2026-01-11T01:41:26.340821
650a3a6e-9083-4cec-8b49-26d531a625c6,723615654,10,Smartphone,230.33,2026-01-23T00:56:09.755396
993ba555-4343-4fd1-b84a-e927233beba0,998988646,5,Headset,2678.12,2026-02-01T10:42:35.377927
32d779d8-3e96-42e4-8694-fa83fbdca060,322401733,2,Mouse,1651.05,2026-01-11T01:35:24.257234
f1312086-51da-4c37-afb4-2b9baa6939c5,723731996,10,Smartphone,4798.07,2026-01-03T08:44:35.836254
475fc694-b27c-447d-8e3c-d2f6acdbc073,413418542,4,Monitor,4301.58,2026-01-14T17:35:51.165304
7a5544f4-0a56-41ab-adbf-44fcdbfcd2ae,483730975,5,Headset,3500.74,2026-01-15T20:21:13.752792
1867b1be-00c3-412e-9465-38d375659506,659414137,3,Teclado,4455.81,2026-01-28T01:40:08.229525
a36ae0a0-2cd3-40cd-bfbc-d1f360e7932b,315633846,1,Notebook,4246.78,2026-01-17T15:23:06.758049
551bbd35-a19a-48a2-8401-3861b4266403,858086870,9,SSD,1327.24,2026-01-07T05:58:24.209605
3400ae63-6a68-4cd0-8c4b-1b34a2a2cb6b,575306291,3,Teclado,4251.38,2026-01-11T19:08:05.980910
dc67b726-1865-4c16-8b2b-93e42d72d8dd,596198796,7,Webcam,1346.55,2026-01-16T06:19:01.976809
e02d1faf-572f-4e84-aefb-f15fa9d352ef,682027735,10,Smartphone,387.23,2026-01-30T02:35:34.606296
482e5ab8-11bd-4ae7-81bb-73ba78bd59cf,578481464,9,SSD,1813.43,2026-01-06T17:01:34.796010
ab77fd4b-06be-4bf7-ad10-02930691328b,361867633,3,Teclado,2678.71,2026-01-16T12:22:00.061540
1e6f3d63-be0e-40c9-b868-da9a893621d2,815117265,4,Monitor,1788.66,2026-01-12T21:42:42.969479
0f4ce796-aa6c-413a-80ef-c2f44aebb57b,480954945,8,HD Externo,1555.76,2026-01-20T01:12:05.279366
cc88d55a-5942-46ca-b8ee-e2dafab2898b,618955606,6,Cadeira Gamer,3648.53,2026-01-04T09:50:11.902335
b834da51-1280-4d68-be63-af621ede1698,391070839,2,Mouse,3159.05,2026-01-25T08:18:45.548279
2c25c08f-3cd3-413e-8e69-43583d6c4b17,749598359,4,Monitor,3169.33,2026-01-03T13:14:53.978831
14a218cf-aedd-47e7-8129-b337f574eb8b,211438950,7,Webcam,3247.24,2026-01-12T23:10:04.507006
26d52ed7-6aa7-4df2-8398-12436bcb45f7,504943915,5,Headset,4931.23,2026-01-12T05:28:12.871448
8a82674f-7338-4d6d-8c67-19181522f00a,571572219,3,Teclado,1170.37,2026-02-01T00:25:16.515507
1dd91234-e1ec-4c43-8474-8785d05f4195,244051398,7,Webcam,622.27,2026-01-24T07:16:14.161960
8a703fbc-48da-493c-b9cd-bd55bf19f14f,687833951,6,Cadeira Gamer,787.54,2026-01-14T22:39:45.484152
7236baca-20bd-4519-990f-21ba2dfb7bd7,429806213,5,Headset,3540.28,2026-01-22T18:16:53.612630
4aaa543e-737a-4256-8519-b37e42648a79,273497068,1,Notebook,716.44,2026-01-10T23:21:56.886759
fe9bc85a-3e8f-4809-a9d5-757f9c806d2c,970997688,7,Webcam,2457.8,2026-01-12T23:49:50.323142
f10e6f7f-7342-4bf8-9a57-4f56d8673939,577293780,2,Mouse,746.6,2026-01-14T21:41:06.444965
80e566f2-1d7a-44e3-b56d-c2503e98a93a,800554160,6,Cadeira Gamer,4408.78,2026-01-29T16:17:50.761136
d9c53af0-717a-4631-b2d8-eb6306e3aadd,858184947,2,Mouse,1658.9,2026-02-01T07:26:01.540003
195ff3c0-9336-440e-bdf7-69a0ed2eefe4,635094785,3,Teclado,2615.7,2026-01-15T23:16:39.132361
c6fa4c15-921b-45fb-8230-85e842ac5533,287863146,4,Monitor,4864.01,2026-01-25T23:54:37.219588
8a1fb090-0e28-41a4-ba58-1f09b591a559,640154324,3,Teclado,3239.71,2026-01-10T07:18:01.009709
f61e15be-583f-4614-8ee0-a001244cd027,487023299,10,Smartphone,3118.5,2026-01-09T21:04:47.243758
1e236c0e-0cf7-402d-b5ab-a6899ed0843e,930701117,9,SSD,4601.13,2026-01-28T07:48:22.908116
8d247d93-122c-4f5d-902a-de9da2d8a172,248276409,4,Monitor,3668.68,2026-01-30T16:54:53.172264
0c76382c-0600-45e9-8afb-caeb44eef32d,624701410,4,Monitor,2753.6,2026-01-21T17:04:39.075201
e9f2e885-d8c3-40bd-8bd1-e15083a9fb64,595073086,2,Mouse,385.96,2026-01-04T08:54:55.406645
d775b6e2-dccc-4e71-bf5a-99890d0b694a,300541221,10,Smartphone,3609.58,2026-01-05T07:08:30.606273
c74bc16d-d9cd-4b1f-bd7f-df75f930d543,786804795,9,SSD,202.73,2026-01-11T20:31:31.871640
62679503-5dd8-4d85-82c6-7dfb6790e7ef,795789879,2,Mouse,4069.5,2026-01-06T21:51:17.395677
64904ca6-1fc3-4e09-99a5-d9bad08ce96e,139438123,8,HD Externo,1736.57,2026-01-19T04:43:14.313624
7afb372b-aec1-4b45-8929-7435cb3d1049,137472306,3,Teclado,3307.82,2026-01-16T21:27:17.916362
cb47ebac-0438-481f-868d-bc9ea8bfea87,555538205,10,Smartphone,2321.58,2026-01-16T08:57:41.620270
bd00cdd3-1115-46a2-ab19-7fbbbd58dec8,702947877,3,Teclado,2888.07,2026-01-11T11:06:45.847008
655febf6-b2ee-437c-af3b-3352aed8c7a5,587678608,4,Monitor,3324.29,2026-01-31T19:01:55.945652
88aad29a-b5ec-45ec-847d-dd058999a3b6,282139612,6,Cadeira Gamer,1697.29,2026-01-06T16:31:55.389008
ca16ed98-7b7a-4ebd-8569-d113c754f5d8,103096527,6,Cadeira Gamer,3659.86,2026-01-16T17:01:10.507435
37ae75f2-a4a8-450d-a5d5-fbe4d7ddc181,276137383,10,Smartphone,4739.05,2026-01-16T08:55:43.347392
b357b60d-dd2d-4493-9605-eb3938ab44f0,500679440,5,Headset,4323.35,2026-01-17T23:19:13.438815
f86ef830-8443-4321-987f-ee692cf92b35,122097378,5,Headset,4167.86,2026-01-26T01:35:41.639748
ade07fdb-79dc-4713-99e0-10c9a889a95e,650099938,2,Mouse,2610.73,2026-01-15T23:07:48.625376
d916dae0-3fd4-4b7c-8b54-6325102a5840,722390649,7,Webcam,2872.61,2026-01-06T15:09:45.360495
fd8b4155-c51a-4811-946a-174230bed060,738414841,4,Monitor,2294.16,2026-01-27T12:11:59.937687
94a3c4dd-085d-41f0-bee5-fca234cbb17b,254656299,6,Cadeira Gamer,1941.05,2026-01-29T05:14:40.680872
9d9efbe7-f3b2-40ba-8e90-ea5a183162d0,336960304,7,Webcam,3526.27,2026-01-25T22:34:33.054776
7b1c4ae6-5d04-4df6-8720-bc088f79ce40,408865001,10,Smartphone,3596.69,2026-01-21T00:39:59.678743
6eeff300-4704-4dc8-b5c7-de29f6079a52,651071938,7,Webcam,2415.7,2026-01-30T02:56:03.830271
160c2a46-1514-48b9-9ec2-949eaba1a6e4,240317720,8,HD Externo,4576.0,2026-01-27T00:04:29.168505
40fe3583-7625-4e69-804f-22cc5fa7dce7,574361706,6,Cadeira Gamer,2977.94,2026-01-03T21:13:19.525684
